##########################################################################################
### MCD_v6.1 with climatology average solar scenario.
### Ls 0.0deg. Altitude 0.0 m ALS. Local time 12.0h (at longitude 0) 
### --------------------------------------------------------------------------------------
### Column 1 is East longitude (degrees)
### Columns 2+ are Temperature (K)
### Line 1 is North latitude (degrees)
### --------------------------------------------------------------------------------------
### Retrieved on: 2025-12-12T13:33:47.884776
### Mars Climate Database (c) LMD/OU/IAA/ESA/CNES
##########################################################################################
---- ||   -9.00000e+01   -8.61702e+01   -8.23404e+01   -7.85106e+01   -7.46809e+01   -7.08511e+01   -6.70213e+01   -6.31915e+01   -5.93617e+01   -5.55319e+01   -5.17021e+01   -4.78723e+01   -4.40426e+01   -4.02128e+01   -3.63830e+01   -3.25532e+01   -2.87234e+01   -2.48936e+01   -2.10638e+01   -1.72340e+01   -1.34043e+01   -9.57447e+00   -5.74468e+00   -1.91489e+00    1.91489e+00    5.74468e+00    9.57447e+00    1.34043e+01    1.72340e+01    2.10638e+01    2.48936e+01    2.87234e+01    3.25532e+01    3.63830e+01    4.02128e+01    4.40426e+01    4.78723e+01    5.17021e+01    5.55319e+01    5.93617e+01    6.31915e+01    6.70213e+01    7.08511e+01    7.46809e+01    7.85106e+01    8.23404e+01    8.61702e+01    9.00000e+01
-----------------------------------
-134 ||    1.44440e+02    1.54744e+02    1.52508e+02    1.51038e+02    1.50102e+02    1.50601e+02    1.54685e+02    1.61437e+02    1.68503e+02    1.74027e+02    1.76176e+02    1.75894e+02    1.75397e+02    1.75288e+02    1.76939e+02    1.80971e+02    1.81426e+02    1.78431e+02    1.70064e+02    1.57829e+02    1.51667e+02    1.51882e+02    1.55368e+02    1.57979e+02    1.58554e+02    1.60197e+02    1.62759e+02    1.60275e+02    1.51994e+02    1.57511e+02    1.59313e+02    1.53871e+02    1.50493e+02    1.50813e+02    1.51254e+02    1.51744e+02    1.58665e+02    1.61680e+02    1.61849e+02    1.58820e+02    1.54226e+02    1.50531e+02    1.50226e+02    1.50443e+02    1.50366e+02    1.49949e+02    1.48648e+02    1.47793e+02
-128 ||    1.44440e+02    1.54858e+02    1.52848e+02    1.51558e+02    1.50471e+02    1.51350e+02    1.55264e+02    1.61848e+02    1.68253e+02    1.73548e+02    1.76019e+02    1.76173e+02    1.75865e+02    1.76365e+02    1.76867e+02    1.78498e+02    1.79980e+02    1.79885e+02    1.76211e+02    1.65498e+02    1.54027e+02    1.50729e+02    1.52729e+02    1.54435e+02    1.54905e+02    1.55898e+02    1.55616e+02    1.56917e+02    1.59007e+02    1.61523e+02    1.57244e+02    1.51657e+02    1.50248e+02    1.49259e+02    1.51409e+02    1.53702e+02    1.58909e+02    1.60922e+02    1.60956e+02    1.58330e+02    1.54038e+02    1.50432e+02    1.50168e+02    1.50381e+02    1.50416e+02    1.49977e+02    1.48683e+02    1.47793e+02
-122 ||    1.44440e+02    1.55164e+02    1.53384e+02    1.51628e+02    1.49806e+02    1.50960e+02    1.55017e+02    1.62237e+02    1.68797e+02    1.74233e+02    1.76683e+02    1.76326e+02    1.75473e+02    1.75885e+02    1.75845e+02    1.76426e+02    1.77675e+02    1.79513e+02    1.78087e+02    1.67063e+02    1.53452e+02    1.48671e+02    1.51009e+02    1.51323e+02    1.50969e+02    1.53021e+02    1.54720e+02    1.53178e+02    1.52578e+02    1.51837e+02    1.51113e+02    1.48956e+02    1.47153e+02    1.47088e+02    1.50300e+02    1.57247e+02    1.60473e+02    1.60498e+02    1.59770e+02    1.58066e+02    1.54261e+02    1.50412e+02    1.50108e+02    1.50342e+02    1.50369e+02    1.49957e+02    1.48687e+02    1.47793e+02
-117 ||    1.44440e+02    1.56324e+02    1.53927e+02    1.51855e+02    1.49851e+02    1.50698e+02    1.54856e+02    1.61882e+02    1.68006e+02    1.73635e+02    1.76262e+02    1.75996e+02    1.74539e+02    1.74264e+02    1.73967e+02    1.75099e+02    1.76109e+02    1.76400e+02    1.74443e+02    1.63993e+02    1.53495e+02    1.50164e+02    1.47112e+02    1.47808e+02    1.50431e+02    1.51352e+02    1.51572e+02    1.51252e+02    1.51256e+02    1.50634e+02    1.48912e+02    1.46933e+02    1.46106e+02    1.45530e+02    1.45723e+02    1.54771e+02    1.60612e+02    1.60589e+02    1.59244e+02    1.57691e+02    1.54225e+02    1.50392e+02    1.50098e+02    1.50326e+02    1.50383e+02    1.49847e+02    1.48598e+02    1.47793e+02
-111 ||    1.44440e+02    1.56447e+02    1.54208e+02    1.52594e+02    1.49988e+02    1.50728e+02    1.55343e+02    1.62709e+02    1.68098e+02    1.73145e+02    1.75467e+02    1.75218e+02    1.74897e+02    1.75607e+02    1.76906e+02    1.76959e+02    1.77503e+02    1.77677e+02    1.75764e+02    1.68048e+02    1.58802e+02    1.52001e+02    1.46355e+02    1.46687e+02    1.49679e+02    1.52166e+02    1.53709e+02    1.52384e+02    1.49894e+02    1.48712e+02    1.47685e+02    1.46301e+02    1.45487e+02    1.44558e+02    1.44412e+02    1.51589e+02    1.58765e+02    1.59849e+02    1.58932e+02    1.57085e+02    1.53835e+02    1.50213e+02    1.50033e+02    1.50307e+02    1.50410e+02    1.49731e+02    1.48514e+02    1.47793e+02
-105 ||    1.44440e+02    1.56405e+02    1.54429e+02    1.53322e+02    1.50615e+02    1.51108e+02    1.55513e+02    1.62867e+02    1.67947e+02    1.71895e+02    1.74142e+02    1.76098e+02    1.77588e+02    1.76774e+02    1.74524e+02    1.74142e+02    1.75898e+02    1.78267e+02    1.77235e+02    1.72387e+02    1.65027e+02    1.53772e+02    1.46485e+02    1.46472e+02    1.46851e+02    1.48599e+02    1.52600e+02    1.55298e+02    1.52028e+02    1.48298e+02    1.47561e+02    1.46597e+02    1.46205e+02    1.45967e+02    1.46521e+02    1.52158e+02    1.57392e+02    1.59204e+02    1.58851e+02    1.56315e+02    1.53566e+02    1.50167e+02    1.50008e+02    1.50291e+02    1.50408e+02    1.49634e+02    1.48439e+02    1.47793e+02
-100 ||    1.44440e+02    1.56097e+02    1.54723e+02    1.53731e+02    1.51173e+02    1.51569e+02    1.55482e+02    1.62628e+02    1.67474e+02    1.70852e+02    1.72508e+02    1.73816e+02    1.74994e+02    1.74497e+02    1.73349e+02    1.74336e+02    1.76219e+02    1.80803e+02    1.81159e+02    1.76538e+02    1.66738e+02    1.53979e+02    1.48833e+02    1.47413e+02    1.47180e+02    1.48672e+02    1.51599e+02    1.53456e+02    1.52394e+02    1.49152e+02    1.47664e+02    1.46919e+02    1.46615e+02    1.47542e+02    1.48916e+02    1.51591e+02    1.56090e+02    1.58900e+02    1.59240e+02    1.56753e+02    1.54010e+02    1.50343e+02    1.50062e+02    1.50314e+02    1.50420e+02    1.49558e+02    1.48380e+02    1.47793e+02
-094 ||    1.44440e+02    1.55974e+02    1.55877e+02    1.54708e+02    1.52546e+02    1.52861e+02    1.56080e+02    1.61713e+02    1.67184e+02    1.71109e+02    1.73062e+02    1.73678e+02    1.72129e+02    1.70897e+02    1.73153e+02    1.78473e+02    1.82693e+02    1.85866e+02    1.84739e+02    1.80997e+02    1.76391e+02    1.69701e+02    1.60931e+02    1.52758e+02    1.49544e+02    1.50128e+02    1.51279e+02    1.51835e+02    1.50777e+02    1.49358e+02    1.49027e+02    1.47691e+02    1.46809e+02    1.46830e+02    1.47350e+02    1.50398e+02    1.57227e+02    1.61013e+02    1.60829e+02    1.59224e+02    1.55505e+02    1.50997e+02    1.50220e+02    1.50371e+02    1.50418e+02    1.49584e+02    1.48390e+02    1.47793e+02
-088 ||    1.44440e+02    1.55574e+02    1.56687e+02    1.55675e+02    1.53876e+02    1.54755e+02    1.57602e+02    1.62085e+02    1.67500e+02    1.72133e+02    1.74844e+02    1.76596e+02    1.75262e+02    1.74125e+02    1.75648e+02    1.80720e+02    1.84743e+02    1.87684e+02    1.87008e+02    1.84032e+02    1.80740e+02    1.78785e+02    1.73136e+02    1.61614e+02    1.55761e+02    1.54249e+02    1.54186e+02    1.54595e+02    1.53604e+02    1.52725e+02    1.50492e+02    1.47768e+02    1.46800e+02    1.46733e+02    1.48932e+02    1.54763e+02    1.60737e+02    1.64682e+02    1.64089e+02    1.61959e+02    1.57032e+02    1.51468e+02    1.50365e+02    1.50430e+02    1.50435e+02    1.49662e+02    1.48379e+02    1.47793e+02
-082 ||    1.44440e+02    1.54750e+02    1.57086e+02    1.57236e+02    1.55651e+02    1.57193e+02    1.60077e+02    1.63870e+02    1.69401e+02    1.74128e+02    1.77044e+02    1.79104e+02    1.79322e+02    1.79015e+02    1.79021e+02    1.82990e+02    1.86814e+02    1.89540e+02    1.89287e+02    1.86788e+02    1.84248e+02    1.83793e+02    1.78887e+02    1.72334e+02    1.68911e+02    1.64234e+02    1.62938e+02    1.62359e+02    1.61139e+02    1.60088e+02    1.56077e+02    1.51485e+02    1.48180e+02    1.47234e+02    1.50695e+02    1.59984e+02    1.67697e+02    1.70698e+02    1.67881e+02    1.64084e+02    1.58139e+02    1.51563e+02    1.50493e+02    1.50498e+02    1.50467e+02    1.49670e+02    1.48380e+02    1.47793e+02
